AVENTURE,FLANNEL,NIJO,PO#1.16.17P,27.7,2/6/17,2/6/17,,,,,,0,0,0,,FLANNEL
AVOCADO,LINER,NIJO,PO# 4.18.17P,15.1,2/6/17,2/6/17,,,,,,0,0,0,,PUL
AVOCADO,LINER,NIJO,PO#3.16.17,23.8,2/6/17,2/6/17,,,,,,0,0,0,,PUL
AVOCADO,LINER,NIJO,STOCK,19.6,2/6/17,2/6/17,,,14275,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,2/6/17,2/6/17,,,14276,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,2/6/17,2/6/17,,,14277,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,2/6/17,2/6/17,,,14278,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,2/6/17,2/6/17,,,14279,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,14201,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,14202,,,0,-1,-1,,PUL
AVOCADO,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,14203,,,0,-1,-1,,PUL
BABY BLUE,LINER,NIJO,PO# 4.18.17P,133.2,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BABY BLUE,LINER,NIJO,PO#3.16.17,6.8,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BABY BLUE,LINER,NIJO,STOCK,73.4,2/6/17,2/6/17,,,16209,,,0,-1,-1,,PUL
BABY BLUE,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,16210,,,0,-1,-1,,PUL
BABY PINK,LINER,NIJO,PO# 4.18.17P,134.95,2/6/17,5/2/17,,,,,,0,0,0,,PUL
BABY PINK,LINER,NIJO,STOCK,98.2,5/2/17,5/2/17,,,5211,,,0,-1,-1,,PUL
BABY PINK,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,5212,,,0,-1,-1,,PUL
BABY PINK FLANNEL,FLANNEL,NIJO,PO#1.16.17P,36.7,2/6/17,2/6/17,,,,,,0,0,0,,FLANNEL
BB CLOTHS,COTTON,NIJO,STOCK,30,5/25/17,5/25/17,,,19001,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,PO# 2.22.17P,84.8,2/6/17,2/27/17,,,,,,0,0,0,,COTTON
BLACK,COTTON,NIJO,PO#1.16.17P,28.6,2/6/17,2/6/17,,,,,,0,0,0,,COTTON
BLACK,COTTON,NIJO,PO#3.16.17,101.5,2/27/17,3/22/17,,,,,,0,0,0,,COTTON
BLACK,COTTON,NIJO,PO# 4.18.17P,209.2,3/22/17,3/22/17,,,,,,0,0,0,,COTTON
BLACK,COTTON,NIJO,STOCK,81.8,3/22/17,3/22/17,,,10003,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,STOCK,100,3/22/17,3/22/17,,,10004,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,STOCK,100,5/25/17,5/25/17,,,10005,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,STOCK,100,5/25/17,5/25/17,,,10006,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,STOCK,100,5/25/17,5/25/17,,,10007,,,0,-1,-1,,COTTON
BLACK,COTTON,NIJO,STOCK,100,5/25/17,5/25/17,,,10008,,,0,-1,-1,,COTTON
BLACK LINER,LINER,NIJO,PO#1.16.17P,115.1,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLACK LINER,LINER,NIJO,PO# 2.22.17P,68.2,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLACK LINER,LINER,NIJO,PO#3.16.17,186.8,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLACK LINER,LINER,NIJO,PO# 4.18.17P,231.7,2/6/17,3/27/17,,,,,,0,0,0,,PUL
BLACK LINER,LINER,NIJO,PO# 4.6.17P,7.7,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLACK LINER,LINER,NIJO,STOCK,88,3/27/17,3/27/17,,,9203,,,0,-1,-1,,PUL
BLACK LINER,LINER,NIJO,STOCK,100,3/27/17,3/27/17,,,9204,,,0,-1,-1,,PUL
BLACK LINER,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,9205,,,0,-1,-1,,PUL
BLACK LINER,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,9206,,,0,-1,-1,,PUL
BLACK LINER,LINER,NIJO,STOCK,100,5/2/17,5/2/17,,,9207,,,0,-1,-1,,PUL
BLACK LINER,LINER,NIJO,STOCK,75,5/2/17,5/2/17,,,9208,,,0,-1,-1,,PUL
BLACK NYLON,NYLON,NIJO,STOCK,100,2/6/17,2/6/17,,,1501,,,0,-1,-1,,NYLON
BLUE GIRAFFE,LINER,NIJO,PO# 2.22.17P,3.3,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLUE GIRAFFE,LINER,NIJO,PO#1.16.17P,4.1,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLUE GIRAFFE,LINER,NIJO,PO#3.16.17,38.7,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLUE GIRAFFE,LINER,NIJO,PO# 4.18.17P,149.2,2/6/17,2/6/17,,,,,,0,0,0,,PUL
BLUE GIRAFFE,LINER,NIJO,STOCK,21.8,2/6/17,2/6/17,,,29227,,,0,-1,-1,,PUL
BLUE GIRAFFE,LINER,NIJO,STOCK,50,2/28/17,2/28/17,,,29228,,,0,-1,-1,,PUL
BLUE HAWAII,COTTON,NIJO,STOCK,5,2/6/17,2/6/17,,,132001,,,0,-1,-1,,COTTON
BLUE HAWAII,COTTON,NIJO,STOCK,125,2/6/17,2/6/17,,,132002,,,0,-1,-1,,COTTON
BLUE HAWAII,COTTON,NIJO,STOCK,96,2/6/17,2/6/17,,,132003,,,0,-1,-1,,COTTON
BLUE HAWAII,COTTON,NIJO,STOCK,114.5,2/6/17,2/6/17,,,132004,,,0,-1,-1,,COTTON
BLUE HAWAII,COTTON,NIJO,STOCK,125.01,2/6/17,2/6/17,,,132005,,,0,-1,-1,,COTTON
BLUEBERRY,JERSEY,NIJO,PO#3.16.17,55.4,2/6/17,2/6/17,,,,,,0,0,0,,COTTON
BLUEBERRY,JERSEY,NIJO,PO# 4.18.17P,15,2/6/17,2/6/17,,,,,,0,0,0,,COTTON
BLUEBERRY,JERSEY,NIJO,STOCK,59.8,2/6/17,2/6/17,,,5427,,,0,-1,-1,,COTTON
BLUEBERRY,JERSEY,NIJO,STOCK,66,2/6/17,2/6/17,,,5428,,,0,-1,-1,,COTTON
BLUEBERRY,JERSEY,NIJO,STOCK,67,2/6/17,2/6/17,,,5429,,,0,-1,-1,,COTTON
BLUEBERRY,JERSEY,NIJO,STOCK,70,2/6/17,2/6/17,,,5430,,,0,-1,-1,,COTTON
BLUEBERRY,JERSEY,NIJO,STOCK,67,2/6/17,2/6/17,,,5431,,,0,-1,-1,,COTTON
BOTTLECAPS,COTTON,NIJO,STOCK,52.08,2/6/17,2/6/17,,,103001,,,0,-1,-1,,COTTON
BRAWNY BEARS,COTTON,NIJO,STOCK,120,5/25/17,5/25/17,,,15001,,,0,-1,-1,,COTTON
